"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Wyatt, Laura","SR","2:19.14","SCIAC Championships","Apr 30, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:19.24","Oxy Invitational","May 8, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:20.39","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:20.40","SCIAC Championships","Apr 30, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:21.08","SCIAC Championships","Apr 30, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:21.16","Occidental Distance Carnival","Mar 12, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:21.23","SCIAC Quad Meet","Apr 17, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:21.61","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:22.13","SCIAC Quad Meet","Apr 17, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:22.88","SCIAC Championships","Apr 30, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:23.02","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:23.35","4 Way Scoring Meet","Feb 20, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:24.57","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","800","2010","Outdoor"
"Yoshida, Elise","FR-1","2:24.79","Occidental Distance Carnival","Mar 12, 2010","Athena","800","2010","Outdoor"
"Garton, Kelly","SO-2","2:25.83","4 Way Scoring Meet","Feb 20, 2010","Athena","800","2010","Outdoor"
"Yoshida, Elise","FR-1","2:25.94","SCIAC Championships","Apr 30, 2010","Athena","800","2010","Outdoor"
"Funk, Courtney","SR-4","2:26.06","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","800","2010","Outdoor"
"Yoshida, Elise","FR-1","2:26.98","SCIAC Quad Meet","Apr 17, 2010","Athena","800","2010","Outdoor"
"Funk, Courtney","SR-4","2:27.44","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","800","2010","Outdoor"
"Wyatt, Laura","SR","2:27.85","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","800","2010","Outdoor"
"Yoshida, Elise","FR-1","2:28.57","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","800","2010","Outdoor"
"Colton, Reny","SR","2:32.09","CSUN Multi's","Mar 18, 2010","Athena","800","2010","Outdoor"
"Colton, Reny","SR","2:35.40","Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","800","2010","Outdoor"
"Bush, Isabel","SO-2","2:36.03","4 Way Scoring Meet","Feb 20, 2010","Athena","800","2010","Outdoor"
"Hilles, Emery","SO-2","2:38.66","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","800","2010","Outdoor"
