"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
42.5,"Weyerhaeuser, Hansen, Hubbard, Macdonald","SCIAC Championships","Apr 30, 2010","Stag","4x100","2010","Outdoor"
42.67,"Carroll, Hansen, Hubbard, Macdonald","SCIAC Quad Meet","Apr 17, 2010","Stag","4x100","2010","Outdoor"
42.76,"","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","4x100","2010","Outdoor"
43,"Carroll, Hansen, Hubbard, Macdonald","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x100","2010","Outdoor"
43.17,"Carroll, Hansen, Hubbard, Macdonald","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","4x100","2010","Outdoor"
43.33,"Carroll, Hansen, Hubbard, Macdonald","Spring Break Classic","Mar 20, 2010","Stag","4x100","2010","Outdoor"
43.39,"Carroll, Weyerhaeuser, Hubbard, Macdonald","4 Way Scoring Meet","Feb 20, 2010","Stag","4x100","2010","Outdoor"
43.53,"Carroll, Weyerhaeuser, Hubbard, Macdonald","Rossi Relays","Feb 27, 2010","Stag","4x100","2010","Outdoor"
43.73,"Carroll, Hansen, Hubbard, Macdonald","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","4x100","2010","Outdoor"
44.16,"Weyerhaeuser, Grossman, Vignos, Davis","SCIAC Quad Meet","Apr 17, 2010","Stag","4x100","2010","Outdoor"
44.55,"Pittman, Grossman, Vignos, Davis","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x100","2010","Outdoor"
44.7,"Pittman, Grossman, Vignos, Hansen","4 Way Scoring Meet","Feb 20, 2010","Stag","4x100","2010","Outdoor"
44.77,"Pittman, Grossman, Vignos, Hansen","Rossi Relays","Feb 27, 2010","Stag","4x100","2010","Outdoor"
46.17,"Olmsted, Kunselman, Soll, Boone","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","4x100","2010","Outdoor"
46.18,"Davis, Kunselman, Soll, Abernethy","4 Way Scoring Meet","Feb 20, 2010","Stag","4x100","2010","Outdoor"
