"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:55.46","Brown, Grime, Lewis, Miller","2011 SCIAC Track & Field Championships","Apr 29, 2011","Athena","4x400","2011","Outdoor"
"3:57.39","Colton, Lewis, Brown, Miller","Cal State LA Tommy Tiny Lister Classic","Apr 22, 2011","Athena","4x400","2011","Outdoor"
"4:00.10","O'Keefe, Miller, Lewis, Grime","Cal/Nevada Collegiate Championship","Mar 26, 2011","Athena","4x400","2011","Outdoor"
"4:01.55","Colton, Brown, O'Keefe, Miller","SCIAC Quad #1 at CMS","Mar 5, 2011","Athena","4x400","2011","Outdoor"
"4:02.18","Lundell, Sheldon, Gao, Gaston","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","4x400","2011","Outdoor"
"4:02.79","O'Keefe, Lewis, Grime, Brown","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011","Athena","4x400","2011","Outdoor"
"4:03.17","Grime, Miller, Lewis, Brown","Univ. of Redlands SCIAC Quad","Apr 2, 2011","Athena","4x400","2011","Outdoor"
"4:03.83","Colton, Brown, O'Keefe, Miller","Rossi Relays","Feb 26, 2011","Athena","4x400","2011","Outdoor"
"4:10.58","Lundell, Lewis, Gao, Warren","2011 Pomona-Pitzer Invite","Apr 9, 2011","Athena","4x400","2011","Outdoor"
"4:22.05","O'Keefe, Lewis, Grime, Brown","UC-Irvine Spring Break Invite","Mar 19, 2011","Athena","4x400","2011","Outdoor"
