"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Brown, Kris","SR-4","30:40.08","Oxy Distance Carnival","Mar 11, 2011","Stag","10000","2011","Outdoor"
"Brown, Kris","SR-4","30:45.33","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011","Stag","10000","2011","Outdoor"
"Page, Russell","SR","31:44.75","Oxy Distance Carnival","Mar 11, 2011","Stag","10000","2011","Outdoor"
"Chow, Bryan","JR-3","32:11.55","Oxy Distance Carnival","Mar 11, 2011","Stag","10000","2011","Outdoor"
"Page, Russell","SR","32:49.38","Cal/Nevada Collegiate Championship","Mar 26, 2011","Stag","10000","2011","Outdoor"
