"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"9:55.83","Wyatt, Garton, Tave, Funk","Rossi Relays","Feb 27, 2010","Athena","4x800","2010","Outdoor"
"10:25.20","Bush, Rose, Yoshida, Hilles","Rossi Relays","Feb 27, 2010","Athena","4x800","2010","Outdoor"
