"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Martinez, Joshua","FR-1",14.8,"SCIAC Track & Field Championships","Apr 30, 2022",0.9,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",14.84,"SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",0.1,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.15,"Bryan Clay Invitational","Apr 13, 2022",0.2,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.16,"2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.9,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.19,"25th Rossi Relays","Feb 26, 2022",1.3,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.23,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",1.1,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.23,"College/University 2022 Oxy Invitational","May 7, 2022",-0.6,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.53,"SCIAC #1 @ ULV","Mar 5, 2022",-1.4,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",15.93,"Westmont Collegiate Classic","Mar 26, 2022",0.8,"Stag","110H","2022","Outdoor"
"Martinez, Joshua","FR-1",16.21,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",0,"Stag","110H","2022","Outdoor"
