"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
46.48,"Griffith, Pratt, JonesMitchell, Abraham","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","4x100","2018","Outdoor"
46.7,"Griffith, Pratt, JonesMitchell, Abraham","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","4x100","2018","Outdoor"
46.82,"Griffith, Honan, JonesMitchell, Abraham","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Athena","4x100","2018","Outdoor"
47.05,"","2018 Redlands Last Chance Qualifier","May 16, 2018","Athena","4x100","2018","Outdoor"
47.12,"Griffith, Pratt, JonesMitchell, Abraham","NCAA Division III Outdoor Track & Field Championships","May 24, 2018","Athena","4x100","2018","Outdoor"
47.5,"Pratt, Honan, JonesMitchell, Abraham","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","4x100","2018","Outdoor"
47.61,"Griffith, Honan, JonesMitchell, Abraham","40th Annual Aztec Invitational","Mar 24, 2018","Athena","4x100","2018","Outdoor"
47.66,"Pratt, Honan, JonesMitchell, Abraham","Redlands Invitational","Mar 16, 2018","Athena","4x100","2018","Outdoor"
48.05,"Griffith, Honan, JonesMitchell, Abraham","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","4x100","2018","Outdoor"
48.23,"Griffith, Pratt, JonesMitchell, Abraham","NCAA Division III Outdoor Track & Field Championships","May 24, 2018","Athena","4x100","2018","Outdoor"
49.85,"Honan, Weisman, JonesMitchell, Stewart","22nd Rossi Relays","Feb 24, 2018","Athena","4x100","2018","Outdoor"
49.87,"Griffith, Weisman, Mell, Stewart","Redlands Invitational","Mar 16, 2018","Athena","4x100","2018","Outdoor"
50.23,"Pratt, Weisman, Mell, Stewart","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","4x100","2018","Outdoor"
50.25,"Griffith, Weisman, Celestin, Stewart","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","4x100","2018","Outdoor"
50.27,"Egerter, Marsh, Pratt, Griffith","2018 Pomona-Pitzer Collegiate All Comers","Feb 17, 2018","Athena","4x100","2018","Outdoor"
