"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
41.15,"Cockburn, Teresi, Williams, Campbell","2022 Redlands Final Qualifier","May 18, 2022","Stag","4x100","2022","Outdoor"
41.53,"Cockburn, Teresi, Williams, Campbell","APU Last Chance","May 13, 2022","Stag","4x100","2022","Outdoor"
41.72,"Balogun, Teresi, Williams, Campbell","Bryan Clay Invitational","Apr 13, 2022","Stag","4x100","2022","Outdoor"
41.78,"Balogun, Teresi, Williams, Campbell","SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022","Stag","4x100","2022","Outdoor"
41.78,"Balogun, Teresi, Williams, Campbell","SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022","Stag","4x100","2022","Outdoor"
41.79,"Balogun, Teresi, Williams, Campbell","2022 Pomona-Pitzer T&F Invite","Apr 9, 2022","Stag","4x100","2022","Outdoor"
42.03,"Balogun, Teresi, Williams, Campbell","SCIAC Track & Field Championships","Apr 30, 2022","Stag","4x100","2022","Outdoor"
42.13,"Balogun, Teresi, Williams, Campbell","Westmont Collegiate Classic","Mar 26, 2022","Stag","4x100","2022","Outdoor"
42.35,"Williams, Martinez, Teresi, Campbell","25th Rossi Relays","Feb 26, 2022","Stag","4x100","2022","Outdoor"
42.5,"Teresi, Martinez, Campbell, Williams","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Stag","4x100","2022","Outdoor"
42.57,"Williams, Balogun, Teresi, Campbell","SCIAC #1 @ ULV","Mar 5, 2022","Stag","4x100","2022","Outdoor"
