"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:13.87","Davis, Vignos, Jones, Macdonald","Azusa Pacific Last Chance Qualifier","May 11, 2013","Stag","4x400","2013","Outdoor"
"3:15.40","Davis, Vignos, Jones, Macdonald","NCAA Division III Outdoor Track & Field Championships","May 23, 2013","Stag","4x400","2013","Outdoor"
"3:15.95","Davis, Jones, Vignos, Macdonald","Oxy Invitational","May 4, 2013","Stag","4x400","2013","Outdoor"
"3:16.10","Davis, Jones, Vignos, Macdonald","2013 SCIAC Track & Field Championships","Apr 26, 2013","Stag","4x400","2013","Outdoor"
"3:18.23","Butterfield, Davis, Jones, Macdonald","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013","Stag","4x400","2013","Outdoor"
"3:18.45","Butterfield, Jones, Davis, Macdonald","Cal-Nevada Championships","Mar 29, 2013","Stag","4x400","2013","Outdoor"
"3:19.85","Espy, Jones, Davis, Macdonald","2013 Pomona-Pitzer T&F Invite","Apr 13, 2013","Stag","4x400","2013","Outdoor"
"3:20.04","Davis, Vignos, Hightower, Macdonald","UCSD Opening Triangular","Feb 16, 2013","Stag","4x400","2013","Outdoor"
"3:23.01","Butterfield, Jones, Espy, Macdonald","Rossi Relays","Feb 23, 2013","Stag","4x400","2013","Outdoor"
"3:24.93","Butterfield, Davis, Espy, Macdonald","35th SDSU Aztec Invitational","Mar 14, 2013","Stag","4x400","2013","Outdoor"
"3:25.22","Davis, Vignos, Jones, Macdonald","Cal Tech SCIAC 3-Way","Mar 2, 2013","Stag","4x400","2013","Outdoor"
"3:27.26","Kunselman, Hightower, Mathkour, Varghese","2013 Pomona-Pitzer T&F Invite","Apr 13, 2013","Stag","4x400","2013","Outdoor"
"3:27.41","Kunselman, Hightower, Chasan, Vignos","Rossi Relays","Feb 23, 2013","Stag","4x400","2013","Outdoor"
"3:30.27","Jones, Molineux, Chasan, Poyhonen","UCSD Opening Triangular","Feb 16, 2013","Stag","4x400","2013","Outdoor"
"3:31.30","Espy, Hightower, Kunselman, Krall","SCIAC Quad Meet","Apr 6, 2013","Stag","4x400","2013","Outdoor"
"3:31.43","Butterfield, Kunselman, Espy, Kirk","UCSD Opening Triangular","Feb 16, 2013","Stag","4x400","2013","Outdoor"
"3:32.46","Kunselman, Hightower, Espy, Teece","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013","Stag","4x400","2013","Outdoor"
"3:38.31","Krall, Baffi, Pitcavage, Sutter","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013","Stag","4x400","2013","Outdoor"
"3:52.31","Hobbs, Van Houten, O'Neill, Atwong","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013","Stag","4x400","2013","Outdoor"
