"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Harmon, Riley","FR-1","11:15.01","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","3000S","2019","Outdoor"
"Gitlin, Sophie","FR-1","11:15.80","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","3000S","2019","Outdoor"
"Harmon, Riley","FR-1","11:22.32","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","3000S","2019","Outdoor"
"Gitlin, Sophie","FR-1","11:23.46","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","3000S","2019","Outdoor"
"Msall, Matilda","SR-4","11:23.71","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","3000S","2019","Outdoor"
"Harmon, Riley","FR-1","11:25.08","Bryan Clay Invitational","Apr 17, 2019","Athena","3000S","2019","Outdoor"
"Gitlin, Sophie","FR-1","11:27.71","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","3000S","2019","Outdoor"
"Harmon, Riley","FR-1","11:30.90","SCIAC Dual Redlands","Mar 2, 2019","Athena","3000S","2019","Outdoor"
"Gitlin, Sophie","FR-1","11:40.39","Bryan Clay Invitational","Apr 17, 2019","Athena","3000S","2019","Outdoor"
"Msall, Matilda","SR-4","11:42.53","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","3000S","2019","Outdoor"
"Gitlin, Sophie","FR-1","11:45.00","SCIAC Dual Redlands","Mar 2, 2019","Athena","3000S","2019","Outdoor"
"Elliot, Anne","FR-1","12:09.16","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","3000S","2019","Outdoor"
"Elliot, Anne","FR-1","12:19.66","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","3000S","2019","Outdoor"
"Elliot, Anne","FR-1","12:31.88","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","3000S","2019","Outdoor"
