"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"4:28.10","Erving, Lewis, Grime, Baumgarten","Rossi Relays","Feb 26, 2011","Athena","SMR","2011","Outdoor"
"4:30.90","Sheldon, Ruoff, Beem, Warren","Rossi Relays","Feb 26, 2011","Athena","SMR","2011","Outdoor"
