"Athlete","Year","Points","Meet","Meet_Date","Team","Event","Season","Location"
"Pittman, Ryan","SR-4",6749,"Claremont Classic Multi","May 13, 2010","Stag","Dec","2010","Outdoor"
"Pittman, Ryan","SR-4",6388,"CSUN Multi's","Mar 18, 2010","Stag","Dec","2010","Outdoor"
