"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"12:30.38","Wyatt, Brown, Ramos, Tave","Rossi Relays","Feb 26, 2011","Athena","DMR","2011","Outdoor"
"13:11.18","Barnwell, Garton, Zimmerling, Eslinger","Rossi Relays","Feb 26, 2011","Athena","DMR","2011","Outdoor"
