"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"11:51.20","Mejia, Tarleton, Cameron-Lewis, Mostatabi","Rossi Relays","Feb 28, 2015","Athena","DMR","2015","Outdoor"
"12:17.68","McKillop, Stewart, Shirey, Blum","Rossi Relays","Feb 28, 2015","Athena","DMR","2015","Outdoor"
"12:52.92","Wu, Knaub, Knott, Spees","Rossi Relays","Feb 28, 2015","Athena","DMR","2015","Outdoor"
"12:59.59","Lehr, Shepard, Mow, Willian","Rossi Relays","Feb 28, 2015","Athena","DMR","2015","Outdoor"
"13:08.72","Scott, Liu, Brookshire, Cantu","Rossi Relays","Feb 28, 2015","Athena","DMR","2015","Outdoor"
