"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Redman, Chad","SR-4",15.61,"SCIAC Multi Dual","Mar 7, 2015",0.9,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",15.62,"2015 SCIAC Track & Field Championships","May 1, 2015",-0.1,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",15.67,"2015 SCIAC Track & Field Championships","May 1, 2015",-0.1,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",15.68,"Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",0.4,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",15.69,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",1,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",15.8,"2015 SCIAC Track & Field Championships","May 1, 2015",0.2,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",15.91,"SCIAC Multi Dual","Mar 7, 2015",0.9,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",15.92,"2015 SCIAC Track & Field Championships","May 1, 2015",0.2,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",16.01,"2015 Pomona-Pitzer All Comers","Feb 21, 2015",0.2,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",16.08,"Bryan Clay Invitational","Apr 17, 2015",0.7,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",16.27,"2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",1.7,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",16.29,"2015 Triton Invitational","Apr 24, 2015",1,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",16.3,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",1,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",16.35,"2015 SCIAC Track & Field Championships","May 1, 2015",-0.1,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",16.4,"Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",0.4,"Stag","110H","2015","Outdoor"
"Redman, Chad","SR-4",16.49,"Westmont Collegiate Classic","Mar 21, 2015",0,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",16.68,"2015 SCIAC Track & Field Championships","May 1, 2015",1.1,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",16.97,"2015 Pomona-Pitzer All Comers","Feb 21, 2015",0.2,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",17.09,"Rossi Relays","Feb 28, 2015",0.8,"Stag","110H","2015","Outdoor"
"Espy, Matt","SR-4",17.23,"2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",1.2,"Stag","110H","2015","Outdoor"
"Cunha, Caleb","SR-4",17.36,"Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",1,"Stag","110H","2015","Outdoor"
