"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"McDonald, Alex","FR-1","53.39","2018 Redlands Last Chance Qualifier","May 16, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","53.53","Azusa Pacific Twilight & Multi","May 10, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","53.76","Bryan Clay Invitational","Apr 19, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","54.91","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","54.99","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","55.31","40th Annual Aztec Invitational","Mar 24, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","55.65","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","55.72","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","56.10","Redlands Invitational","Mar 16, 2018","Stag","400H","2018","Outdoor"
"McDonald, Alex","FR-1","57.26","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","59.74","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","59.92","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","59.94","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","1:00.54","Redlands Invitational","Mar 16, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","1:00.75","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","400H","2018","Outdoor"
"Southerland, Finn","JR-3","1:02.14","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","400H","2018","Outdoor"
