"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:59.71","Lipsky, Konsmo, Zimmer, DelVecchio","SCIAC Track & Field Championships","Apr 30, 2022","Athena","4x400","2022","Outdoor"
"4:01.25","Lipsky, Konsmo, Zimmer, DelVecchio","SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022","Athena","4x400","2022","Outdoor"
"4:07.21","Lipsky, Zimmer, DelVecchio, Maley","SCIAC #1 @ ULV","Mar 5, 2022","Athena","4x400","2022","Outdoor"
"4:07.61","Lipsky, Konsmo, DelVecchio, Nanez","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","4x400","2022","Outdoor"
"4:08.83","Lipsky, Zimmer, DelVecchio, Teraoka","25th Rossi Relays","Feb 26, 2022","Athena","4x400","2022","Outdoor"
"4:09.23","Lipsky, Zimmer, DelVecchio, Nanez","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","4x400","2022","Outdoor"
"4:13.78","Forte, Bitetti, Maley, Schleifer","SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022","Athena","4x400","2022","Outdoor"
"4:14.42","Forte, Schleifer, Maley, Zimmer","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","4x400","2022","Outdoor"
"4:16.62","Lipsky, Clarke, Zimmer, DelVecchio","SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022","Athena","4x400","2022","Outdoor"
"4:20.23","Forte, Konsmo, Schleifer, Maley","Westmont Collegiate Classic","Mar 26, 2022","Athena","4x400","2022","Outdoor"
"4:22.60","Forte, Teraoka, Schleifer, Maley","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","4x400","2022","Outdoor"
"4:24.44","Forte, Konsmo, Teraoka, Schleifer","SCIAC #1 @ ULV","Mar 5, 2022","Athena","4x400","2022","Outdoor"
