"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Martinez, Joshua","SO-2",14.6,"2023 SCIAC T&F Championships","Apr 29, 2023",0.3,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",14.66,"2023 Triton Invite (College/University)","Apr 7, 2023",-0.3,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",14.82,"Redlands Invitational (Collegiate)","Mar 17, 2023",-0.8,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",14.93,"2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023",1.1,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",15.07,"SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023",0.5,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",15.17,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",0.4,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",15.21,"2023 SCIAC T&F Championships","Apr 29, 2023",0,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",15.32,"Oxy Invitational","May 6, 2023",-2.9,"Stag","110H","2023","Outdoor"
"Martinez, Joshua","SO-2",15.5,"SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",1.7,"Stag","110H","2023","Outdoor"
"Jeter, Isaiah","FR-1",17.4,"2023 SCIAC T&F Championships","Apr 29, 2023",-1.3,"Stag","110H","2023","Outdoor"
"Jeter, Isaiah","FR-1",17.52,"SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",1.7,"Stag","110H","2023","Outdoor"
"Jeter, Isaiah","FR-1",17.65,"SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",0.4,"Stag","110H","2023","Outdoor"
