"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Southerland, Finn","SO-2","59.43","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:00.21","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:00.40","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:00.42","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:00.90","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:00.96","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:01.10","Redlands Invite (Colleges)","Mar 17, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:01.61","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","400H","2017","Outdoor"
"Kiefer, J.P","JR-3","1:01.84","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:01.85","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:01.88","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:01.98","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:02.37","Redlands Invite (Colleges)","Mar 17, 2017","Stag","400H","2017","Outdoor"
"Southerland, Finn","SO-2","1:02.77","Rossi Relays","Feb 25, 2017","Stag","400H","2017","Outdoor"
"Kiefer, J.P","JR-3","1:02.86","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:03.22","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","400H","2017","Outdoor"
"Novitsky, Alexander","FR-1","1:03.36","Rossi Relays","Feb 25, 2017","Stag","400H","2017","Outdoor"
"Kiefer, J.P","JR-3","1:04.25","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","400H","2017","Outdoor"
