"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"4:07.51","Marsh, Snell, Deutsch, Egerter","SCIAC Track & Field Conference Championships","Apr 27, 2019","Athena","4x400","2019","Outdoor"
"4:09.40","Drooff, Pratt, Deutsch, Egerter","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Athena","4x400","2019","Outdoor"
"4:10.21","Droof, Deutsch, Marsh, Pratt","23rd Rossi Relays","Feb 23, 2019","Athena","4x400","2019","Outdoor"
"4:13.58","Droof, Deutsch, Snell, Marsh","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","4x400","2019","Outdoor"
"4:16.40","Mknelly, McCarthy, Snell, Egerter","23rd Rossi Relays","Feb 23, 2019","Athena","4x400","2019","Outdoor"
"4:16.89","Droof, Egerter, Marsh, Pratt","SCIAC Dual Redlands","Mar 2, 2019","Athena","4x400","2019","Outdoor"
"4:19.04","Droof, Deutsch, McCarthy, Snell","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","4x400","2019","Outdoor"
"4:29.46","Msall, Palenscar, Liu, Button","23rd Rossi Relays","Feb 23, 2019","Athena","4x400","2019","Outdoor"
"4:29.98","Msall, Johnson, Versen, Liu","SCIAC Multi-Dual #2","Mar 30, 2019","Athena","4x400","2019","Outdoor"
"4:33.56","Johnson, Palenscar, McVay, Jones","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","4x400","2019","Outdoor"
"4:39.60","Msall, Taylor, Marsh, Halvorsen","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","4x400","2019","Outdoor"
"4:44.23","Johnson, Versen, Gleason, Gitlin","23rd Rossi Relays","Feb 23, 2019","Athena","4x400","2019","Outdoor"
"4:46.05","Harmon, Blevins, Gleason, Crepeau","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Athena","4x400","2019","Outdoor"
