"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
49.43,"Cousins, Knaub, Sonnett, Colton","2013 SCIAC Track & Field Championships","Apr 26, 2013","Athena","4x100","2013","Outdoor"
50.1,"O'Keefe, Arnett, Sonnett, Lewis","Cal Tech SCIAC 3-Way","Mar 2, 2013","Athena","4x100","2013","Outdoor"
50.21,"O'Keefe, Knaub, Lewis, Erving","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013","Athena","4x100","2013","Outdoor"
50.46,"Cousins, Knaub, Arnett, Sonnett","SCIAC Quad Meet","Apr 6, 2013","Athena","4x100","2013","Outdoor"
50.83,"O'Keefe, Knaub, Lewis, Erving","Rossi Relays","Feb 23, 2013","Athena","4x100","2013","Outdoor"
50.92,"O'Keefe, Knaub, Lewis, Erving","Cal-Nevada Championships","Mar 29, 2013","Athena","4x100","2013","Outdoor"
