"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:19.43","McDonald, Addison, Morgan, Cockburn","SCIAC Track & Field Conference Championships","Apr 27, 2019","Stag","4x400","2019","Outdoor"
"3:21.45","McDonald, Addison, Morgan, Cockburn","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","4x400","2019","Outdoor"
"3:22.77","McDonald, Addison, Morgan, Cockburn","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","4x400","2019","Outdoor"
"3:24.60","McDonald, Addison, Morgan, Cockburn","41st Annual Aztec Open","Mar 21, 2019","Stag","4x400","2019","Outdoor"
"3:26.19","McDonald, Fernandez, Addison, Morgan","23rd Rossi Relays","Feb 23, 2019","Stag","4x400","2019","Outdoor"
"3:28.07","Patterson, Finley, Addison, Morgan","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x400","2019","Outdoor"
"3:30.93","Gill, Sealand, Iten, Newton","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","4x400","2019","Outdoor"
"3:32.03","Fernandez, Schulz, Patterson, Novitsky","SCIAC Dual Redlands","Mar 2, 2019","Stag","4x400","2019","Outdoor"
"3:34.54","Sealand, Hassman, Mountain, Christensen","23rd Rossi Relays","Feb 23, 2019","Stag","4x400","2019","Outdoor"
"3:39.09","Gill, Newton, van Schendel, Sealand","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","4x400","2019","Outdoor"
"3:40.03","Fernandez, Schulz, Patterson, Novitsky","41st Annual Aztec Open","Mar 21, 2019","Stag","4x400","2019","Outdoor"
"3:40.49","Denning, Christensen, Hassman, Hirsch","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x400","2019","Outdoor"
"3:42.72","Schulz, Patterson, Novitsky, Finley","23rd Rossi Relays","Feb 23, 2019","Stag","4x400","2019","Outdoor"
"3:44.55","Iten, Ives, Mountain, Ostrander","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x400","2019","Outdoor"
"3:45.58","Gill, Sealand, Kimball, Wilkinson","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x400","2019","Outdoor"
"3:59.82","Fernandez, Guillory, Patterson, Novitsky","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","4x400","2019","Outdoor"
"4:00.22","Ives, Iten, Christensen, Denning","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","4x400","2019","Outdoor"
