"Athlete","Year","Points","Meet","Meet_Date","Team","Event","Season","Location"
"Hollshwandner, Amy","SO-2",4289,"Claremont Classic Multi","May 7, 2015","Athena","Hep","2015","Outdoor"
"Hollshwandner, Amy","SO-2",4092,"Westmont Collegiate Classic","Mar 21, 2015","Athena","Hep","2015","Outdoor"
