"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:20.07","Betherum, Myers, Guillory, Molineux","SCIAC Track & Field Championships","Apr 29, 2016","Stag","4x400","2016","Outdoor"
"3:22.83","Guillory, Sealand, Molineux, Betherum","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
"3:26.80","Guillory, Myers, Southerland, Betherum","Rossi Relays","Feb 27, 2016","Stag","4x400","2016","Outdoor"
"3:28.74","Guillory, Myers, Sealand, Betherum","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Stag","4x400","2016","Outdoor"
"3:29.16","Molineux, Owlett, Ryan, Sealand","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","4x400","2016","Outdoor"
"3:29.84","Guillory, Myers, Catolico, Betherum","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Stag","4x400","2016","Outdoor"
"3:31.87","Guillory, Myers, Jones, Betherum","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","4x400","2016","Outdoor"
"3:40.81","","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
"3:45.18","","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
"3:47.64","","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
"3:48.77","Huang, Iten, Kiefer, Kirk","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","4x400","2016","Outdoor"
"3:49.01","Iten, Ryan, Sealand, Molineux","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","4x400","2016","Outdoor"
"3:49.16","","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
"3:50.04","Banks, Barraugh, Harris, Higle-Ralbovsky","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","4x400","2016","Outdoor"
"3:50.14","","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x400","2016","Outdoor"
