"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Hansen, Kyle","","13.19m","43' 3.25""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.8,"Stag","TJ","2011","Outdoor"
"Corcos, Sam","SR-4","13.05m","42' 9.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.8,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","13.05m","42' 9.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.5,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.90m","42' 4""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Stag","TJ","2011","Outdoor"
"Corcos, Sam","SR-4","12.90m","42' 4""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.87m","42' 2.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.1,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.86m","42' 2.25""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.80m","42' 0""","SCIAC Quad #1 at CMS","Mar 5, 2011",0,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.77m","41' 10.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.3,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.74m","41' 9.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.3,"Stag","TJ","2011","Outdoor"
"Corcos, Sam","SR-4","12.70m","41' 8""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.70m","41' 8""","Univ. of Redlands SCIAC Quad","Apr 2, 2011",1.5,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.68m","41' 7.25""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.2,"Stag","TJ","2011","Outdoor"
"Hansen, Kyle","","12.59m","41' 3.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",0,"Stag","TJ","2011","Outdoor"
"Corcos, Sam","SR-4","12.57m","41' 3""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.1,"Stag","TJ","2011","Outdoor"
"Brown, Brandon","JR-3","12.55m","41' 2.25""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.2,"Stag","TJ","2011","Outdoor"
