"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Pratt, Grace","SO-2",25.75,"SCIAC Track & Field Conference Championships","Apr 27, 2019",1.4,"Athena","200","2019","Outdoor"
"Pratt, Grace","SO-2",25.81,"SCIAC Track & Field Conference Championships","Apr 27, 2019",1.2,"Athena","200","2019","Outdoor"
"Pratt, Grace","SO-2",26.13,"SCIAC Multi-Dual #2","Mar 30, 2019",0.9,"Athena","200","2019","Outdoor"
"Marsh, Deyana","SO-2",27.1,"SCIAC Track & Field Conference Championships","Apr 27, 2019",0.8,"Athena","200","2019","Outdoor"
"Marsh, Deyana","SO-2",27.11,"Claremont Classic Hep/Dec Multis Meet","May 8, 2019",0,"Athena","200","2019","Outdoor"
"Egerter, Aubrey","SO-2",27.12,"Claremont Classic Hep/Dec Multis Meet","May 8, 2019",0,"Athena","200","2019","Outdoor"
"Pratt, Grace","SO-2",27.13,"SCIAC Dual Redlands","Mar 2, 2019",-0.8,"Athena","200","2019","Outdoor"
"Egerter, Aubrey","SO-2",27.23,"SCIAC Multi-Dual #2","Mar 30, 2019",0.9,"Athena","200","2019","Outdoor"
"Egerter, Aubrey","SO-2",27.3,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",0.7,"Athena","200","2019","Outdoor"
"Marsh, Deyana","SO-2",27.71,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",0.7,"Athena","200","2019","Outdoor"
"Droof, Julia","SO-2",28.8,"SCIAC Dual Redlands","Mar 2, 2019",-0.8,"Athena","200","2019","Outdoor"
"Mknelly, Bailey","SO-2",28.94,"SCIAC Dual Redlands","Mar 2, 2019",-2.2,"Athena","200","2019","Outdoor"
"Canfield, Julia","JR-3",29.93,"SCIAC Dual Redlands","Mar 2, 2019",-2.2,"Athena","200","2019","Outdoor"
"Peterson, Robin","FR-1",30.1,"SCIAC Multi-Dual #2","Mar 30, 2019",0.8,"Athena","200","2019","Outdoor"
