"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Molineux, Evan","JR-3","4:15.91","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Jones, Justin","SR-4","4:20.55","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Ryan, Garrett","SO-2","4:22.83","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Huang, Kevin","FR-1","4:23.43","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Joseph, Jesse","SO-2","4:26.92","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Olsen, Hunter","FR-1","4:32.24","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Suver, Kyle","FR-1","4:34.30","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Banks, Nico","SO-2","4:35.31","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Cook, Matt","SR-4","4:36.08","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Kiefer, J.P","FR-1","4:37.23","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Clausen, Will","SR-4","4:37.81","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Barraugh, Collin","FR-1","4:39.43","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Robison, Arch","FR-1","4:44.89","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
"Schein, Steve","JR-3","4:59.40","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","Mile","2015","Outdoor"
