"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:50.53","Stewart, Abraham, Mejia, Cameron-Lewis","SCIAC Track & Field Championships","Apr 29, 2016","Athena","4x400","2016","Outdoor"
"3:52.78","Stewart, Abraham, Mejia, Cameron-Lewis","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Athena","4x400","2016","Outdoor"
"3:55.28","Stewart, Abraham, Mejia, Cameron-Lewis","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","4x400","2016","Outdoor"
"3:55.70","Stewart, Abraham, Mejia, Cameron-Lewis","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","4x400","2016","Outdoor"
"3:59.78","Cameron-Lewis, Stewart, Abraham, English","Rossi Relays","Feb 27, 2016","Athena","4x400","2016","Outdoor"
"4:02.56","Stewart, Abraham, English, Cameron-Lewis","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Athena","4x400","2016","Outdoor"
"4:05.52","English, Ecola, Stewart, Cameron-Lewis","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","4x400","2016","Outdoor"
"4:17.35","McKillop, Mejia, Msall, Nix","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","4x400","2016","Outdoor"
"4:27.36","Mann, Shirey, Marsh, Nix","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","4x400","2016","Outdoor"
"4:27.74","","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","4x400","2016","Outdoor"
"4:28.80","English, Grunwald, Mann, Shirey","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","4x400","2016","Outdoor"
"4:35.42","","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","4x400","2016","Outdoor"
"4:37.18","English, Ecola, Grunwald, Zepeda","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","4x400","2016","Outdoor"
"4:39.17","Stewart, McKillop, Shirey, Blum","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","4x400","2016","Outdoor"
"4:40.18","","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","4x400","2016","Outdoor"
"4:51.60","Shepard, Shirey, Stanislaw, Zepeda","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","4x400","2016","Outdoor"
"4:52.92","Blum, Mann, Marsh, Maslan","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","4x400","2016","Outdoor"
