"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Weyerhaeuser, Jake","",11.06,"2011 SCIAC Track & Field Championships","Apr 29, 2011",0.7,"Stag","100","2011","Outdoor"
"Macdonald, Jeff","",11.07,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Stag","100","2011","Outdoor"
"Macdonald, Jeff","",11.18,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.28,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1.8,"Stag","100","2011","Outdoor"
"Warner, Kenneth","FR-1",11.3,"SCIAC Quad #1 at CMS","Mar 5, 2011",0,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.3,"Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.33,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.2,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.34,"UC-Irvine Spring Break Invite","Mar 19, 2011",1.2,"Stag","100","2011","Outdoor"
"Warner, Kenneth","FR-1",11.37,"2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.4,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.37,"SCIAC Quad #1 at CMS","Mar 5, 2011",0,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.4,"Cal State LA Tommy Tiny Lister Classic","Apr 22, 2011",0.9,"Stag","100","2011","Outdoor"
"Warner, Kenneth","FR-1",11.46,"2011 Pomona-Pitzer Invite","Apr 9, 2011",-1.7,"Stag","100","2011","Outdoor"
"Warner, Kenneth","FR-1",11.48,"Oxy Invitational","May 7, 2011",0,"Stag","100","2011","Outdoor"
"Weyerhaeuser, Jake","",11.52,"Northridge Invitational","Mar 12, 2011",0,"Stag","100","2011","Outdoor"
"Hansen, Kyle","",11.55,"UC-Irvine Spring Break Invite","Mar 19, 2011",1.2,"Stag","100","2011","Outdoor"
"Brown, Brandon","JR-3",11.72,"SCIAC Quad #1 at CMS","Mar 5, 2011",0.8,"Stag","100","2011","Outdoor"
"Grossman, Skyler","SO-2",11.8,"UC-Irvine Spring Break Invite","Mar 19, 2011",1.2,"Stag","100","2011","Outdoor"
"Brown, Brandon","JR-3",11.85,"2011 Pomona-Pitzer Invite","Apr 9, 2011",1.1,"Stag","100","2011","Outdoor"
"Grossman, Skyler","SO-2",11.92,"SCIAC Quad #1 at CMS","Mar 5, 2011",0.8,"Stag","100","2011","Outdoor"
"Shaughnessy, John","FR-1",12.08,"UC-Irvine Spring Break Invite","Mar 19, 2011",1.2,"Stag","100","2011","Outdoor"
"Shaughnessy, John","FR-1",12.17,"SCIAC Quad #1 at CMS","Mar 5, 2011",0,"Stag","100","2011","Outdoor"
