"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"10:03.10","Molineux, Hightower, Jones, Sealand","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
"10:19.58","Huang, Dewald, Jones, Ryan","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
"10:47.12","Lund, Mahre, Suver, Loustalet","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
"10:49.28","Owlett, Jauregui, Cook, Olsen","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
"10:54.52","Mauro, Clausen, Barraugh, Banks","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
"11:09.20","Anderson, Kiefer, Robison, Mulligan","Rossi Relays","Feb 28, 2015","Stag","DMR","2015","Outdoor"
