"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
41.18,"Guillory, Henderson, Cockburn, Bethurem","Azusa Pacific Twilight & Multi","May 9, 2019","Stag","4x100","2019","Outdoor"
41.37,"Guillory, Henderson, Cockburn, Bethurem","Redlands Final Qualifying Meet","May 15, 2019","Stag","4x100","2019","Outdoor"
41.65,"Guillory, Henderson, Cockburn, Bethurem","SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019","Stag","4x100","2019","Outdoor"
41.67,"Guillory, Henderson, Cockburn, Bethurem","NCAA Division III Outdoor Track & Field Championships","May 23, 2019","Stag","4x100","2019","Outdoor"
41.77,"Guillory, Henderson, Cockburn, Bethurem","2019 Oxy Invitational","May 11, 2019","Stag","4x100","2019","Outdoor"
42.62,"Guillory, Henderson, Cockburn, Sojico","SCIAC Multi-Dual #2","Mar 30, 2019","Stag","4x100","2019","Outdoor"
42.65,"Guillory, Sojico, Cockburn, Henderson","Redlands Invitational","Mar 15, 2019","Stag","4x100","2019","Outdoor"
43.13,"Guillory, Sojico, Cockburn, Henderson","41st Annual Aztec Open","Mar 21, 2019","Stag","4x100","2019","Outdoor"
43.18,"Guillory, Sojico, LaRovere, Bethurem","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x100","2019","Outdoor"
43.25,"Guillory, Sojico, LaRovere, Henderson","SCIAC Dual Redlands","Mar 2, 2019","Stag","4x100","2019","Outdoor"
43.3,"Adolphe, Cockburn, McDonald, Henderson","2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019","Stag","4x100","2019","Outdoor"
43.31,"Guillory, Sojico, LaRovere, Henderson","23rd Rossi Relays","Feb 23, 2019","Stag","4x100","2019","Outdoor"
