"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:53.87","Miller, Erving, O'Keefe, Tarleton","2014 Oxy Invitational (Colleges/Junior Colleges)","May 10, 2014","Athena","4x400","2014","Outdoor"
"3:54.33","O'Keefe, Hollshwandner, Miller, Tarleton","Redlands Final Qualifying Meet","May 15, 2014","Athena","4x400","2014","Outdoor"
"3:55.70","O'Keefe, Hollshwander, Arnett, Tarleton","2014 SCIAC T&F Championships","May 3, 2014","Athena","4x400","2014","Outdoor"
"4:00.08","O'Keefe, Erving, Hollshwander, Tarleton","UNLV Randall Cunningham Initational","Mar 21, 2014","Athena","4x400","2014","Outdoor"
"4:00.59","Hollshwander, O'Keefe, Arnett, Tarleton","SCIAC Multi Duals Meet #3","Apr 19, 2014","Athena","4x400","2014","Outdoor"
"4:00.91","Arnett, Hollshwander, Ingram, Maslan","2014 SCIAC Quad Meet","Mar 29, 2014","Athena","4x400","2014","Outdoor"
"4:01.94","O'Keefe, Erving, Hollshwander, Miller","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Athena","4x400","2014","Outdoor"
"4:13.02","Hollshwander, Ingram, Arnett, Maslan","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Athena","4x400","2014","Outdoor"
"4:14.81","Tarleton, Arnett, Maslan, Shepard","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Athena","4x400","2014","Outdoor"
"4:17.09","Hollshwander, Tarleton, Arnett, Shepard","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","4x400","2014","Outdoor"
"4:26.54","Ingram, Miller, O'Keefe, Maslan","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Athena","4x400","2014","Outdoor"
