"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Cockburn, Jamie","JR-3",21.35,"APU Last Chance","May 13, 2022",2,"Stag","200","2022","Outdoor"
"Cockburn, Jamie","JR-3",21.53,"SCIAC Track & Field Championships","Apr 30, 2022",2,"Stag","200","2022","Outdoor"
"Cockburn, Jamie","JR-3",21.61,"SCIAC Track & Field Championships","Apr 30, 2022",1.5,"Stag","200","2022","Outdoor"
"Bertini, Massimo","FR-1",21.72,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",1.6,"Stag","200","2022","Outdoor"
"Campbell, Christian","JR-3",21.78,"2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.2,"Stag","200","2022","Outdoor"
"Campbell, Christian","JR-3",21.91,"SCIAC Track & Field Championships","Apr 30, 2022",2,"Stag","200","2022","Outdoor"
"Bertini, Massimo","FR-1",21.94,"Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","200","2022","Outdoor"
"Bertini, Massimo","FR-1",21.98,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.7,"Stag","200","2022","Outdoor"
"Campbell, Christian","JR-3",22,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",0.5,"Stag","200","2022","Outdoor"
"Campbell, Christian","JR-3",22.13,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.7,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.17,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.7,"Stag","200","2022","Outdoor"
"Williams, Quincey","JR-3",22.19,"SCIAC Track & Field Championships","Apr 30, 2022",2,"Stag","200","2022","Outdoor"
"Williams, Quincey","JR-3",22.2,"APU Last Chance","May 13, 2022",1.7,"Stag","200","2022","Outdoor"
"Cockburn, Jamie","JR-3",22.27,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.7,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.28,"SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",-0.7,"Stag","200","2022","Outdoor"
"Williams, Quincey","JR-3",22.28,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",0.7,"Stag","200","2022","Outdoor"
"Bertini, Massimo","FR-1",22.3,"SCIAC Track & Field Championships","Apr 30, 2022",2,"Stag","200","2022","Outdoor"
"Williams, Quincey","SR-4",22.41,"2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.2,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.42,"2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.2,"Stag","200","2022","Outdoor"
"Williams, Quincey","SR-4",22.42,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",1.6,"Stag","200","2022","Outdoor"
"Bertini, Massimo","FR-1",22.43,"SCIAC #1 @ ULV","Mar 5, 2022",-1.4,"Stag","200","2022","Outdoor"
"Balogun, Oluwatimilehin(Timi)","SO-2",22.48,"Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","200","2022","Outdoor"
"Balogun, Oluwatimilehin(Timi)","SO-2",22.53,"SCIAC Multi Dual #2 CMS/ULV/CU/PP/CLU","Apr 2, 2022",-0.4,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.57,"SCIAC Track & Field Championships","Apr 30, 2022",2,"Stag","200","2022","Outdoor"
"Williams, Quincey","JR-3",22.59,"SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",-0.7,"Stag","200","2022","Outdoor"
"Balogun, Oluwatimilehin(Timi)","SO-2",22.66,"SCIAC#3 (ULV,CIT,CU,CMS,OC)","Apr 16, 2022",-0.7,"Stag","200","2022","Outdoor"
"Williams, Quincey","JR-3",22.67,"Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","200","2022","Outdoor"
"Campbell, Christian","JR-3",22.68,"SCIAC #1 @ ULV","Mar 5, 2022",-1.4,"Stag","200","2022","Outdoor"
"Myers, Jack","FR-1",22.72,"2022 Redlands Invitational (Collegiate)","Mar 18, 2022",0.3,"Stag","200","2022","Outdoor"
"Myers, Jack","FR-1",22.74,"2022 Pomona-Pitzer T&F Invite","Apr 9, 2022",1.3,"Stag","200","2022","Outdoor"
"Cockburn, Jamie","JR-3",22.77,"Westmont Collegiate Classic","Mar 26, 2022",0,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.81,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",0,"Stag","200","2022","Outdoor"
"Teresi , Nicholas","SO-2",22.85,"SCIAC #1 @ ULV","Mar 5, 2022",-0.6,"Stag","200","2022","Outdoor"
"Balogun, Oluwatimilehin(Timi)","SO-2",23.09,"SCIAC #1 @ ULV","Mar 5, 2022",-1.2,"Stag","200","2022","Outdoor"
"Verma, Viksit","JR-3",23.19,"2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022",1.6,"Stag","200","2022","Outdoor"
"Williams, Quincey","SR-4",23.19,"SCIAC #1 @ ULV","Mar 5, 2022",-1.4,"Stag","200","2022","Outdoor"
"Myers, Jack","FR-1",23.62,"SCIAC #1 @ ULV","Mar 5, 2022",-1.2,"Stag","200","2022","Outdoor"
"Verma, Viksit","JR-3",24.22,"SCIAC #1 @ ULV","Mar 5, 2022",-0.6,"Stag","200","2022","Outdoor"
