"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:21.93","McDonald, Schulz, Estrada, Guillory","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","4x400","2018","Outdoor"
"3:24.56","McDonald, Estrada, Finley, Guillory","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","4x400","2018","Outdoor"
"3:26.42","McDonald, Addison, Finley, Guillory","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","4x400","2018","Outdoor"
"3:28.61","McDonald, Denning, Fernandez, Guillory","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","4x400","2018","Outdoor"
"3:28.93","Church, Finley, Addison, Fernandez","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","4x400","2018","Outdoor"
"3:31.43","McDonald, Schulz, Church, Guillory","Redlands Invitational","Mar 16, 2018","Stag","4x400","2018","Outdoor"
"3:33.26","Schulz, Church, Klain, Fernandez","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","4x400","2018","Outdoor"
"3:35.04","Iten, Ives, Huang, Steinberg","SCIAC Multi-Dual #1","Mar 3, 2018","Stag","4x400","2018","Outdoor"
"3:40.31","Addison, Finley, Southerland, Novitsky","Redlands Invitational","Mar 16, 2018","Stag","4x400","2018","Outdoor"
"3:43.36","","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","4x400","2018","Outdoor"
"3:46.02","D'Anieri, Iten, Ives, Denning","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","4x400","2018","Outdoor"
"3:51.51","Harris, Kimball, Mountain, Newton","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","4x400","2018","Outdoor"
