"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Schneider, Justin","FR-1","7.10m","23' 3.5""","2013 SCIAC Track & Field Championships","Apr 26, 2013",-0.3,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","7.01m","23' 0""","2013 Pomona-Pitzer T&F Invite","Apr 13, 2013",1.9,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.99m","22' 11.25""","SCIAC Quad Meet","Apr 6, 2013",0.8,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.89m","22' 7.25""","2013 SCIAC Track & Field Championships","Apr 26, 2013",0.6,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.89m","22' 7.25""","2013 Pomona-Pitzer T&F Invite","Apr 13, 2013",1.4,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.89m","22' 7.25""","Cal Tech SCIAC 3-Way","Mar 2, 2013",0,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.86m","22' 6.25""","2013 SCIAC Track & Field Championships","Apr 26, 2013",0,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.81m","22' 4.25""","Cal-Nevada Championships","Mar 29, 2013",-0.7,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.79m","22' 3.5""","2013 SCIAC Track & Field Championships","Apr 26, 2013",-0.3,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.78m","22' 3""","Cal-Nevada Championships","Mar 29, 2013",0.5,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.75m","22' 1.75""","SCIAC Quad Meet","Apr 6, 2013",1.9,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.74m","22' 1.5""","2013 Pomona-Pitzer T&F Invite","Apr 13, 2013",-0.1,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.70m","21' 11.75""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",0.6,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.67m","21' 10.75""","2013 SCIAC Track & Field Championships","Apr 26, 2013",0.6,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.61m","21' 8.25""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",1.2,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.58m","21' 7.25""","Cal-Nevada Championships","Mar 29, 2013",-0.2,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.57m","21' 6.75""","Cal-Nevada Championships","Mar 29, 2013",0.4,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.41m","21' 0.5""","2013 SCIAC Track & Field Championships","Apr 26, 2013",0.9,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.36m","20' 10.5""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",0,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.35m","20' 10""","Cal Tech SCIAC 3-Way","Mar 2, 2013",0.8,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.34m","20' 9.75""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",1.7,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.33m","20' 9.25""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",0.3,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.33m","20' 9.25""","2013 SCIAC Track & Field Championships","Apr 26, 2013",-0.5,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.30m","20' 8""","2013 SCIAC Track & Field Championships","Apr 26, 2013",-0.3,"Stag","LJ","2013","Outdoor"
"Schneider, Justin","FR-1","6.30m","20' 8""","Caltech/Chapman/CMS/Occidental/Pomona-Pitzer","Mar 23, 2013",0.2,"Stag","LJ","2013","Outdoor"
"Hansen, Kyle","SR-4","6.28m","20' 7.25""","2013 SCIAC Track & Field Championships","Apr 26, 2013",-0.8,"Stag","LJ","2013","Outdoor"
