"Athlete","Year","Points","Meet","Meet_Date","Team","Event","Season","Location"
"Marsh, Deyana","FR-1",3596,"2018 Redlands Last Chance Qualifier","May 16, 2018","Athena","Hep","2018","Outdoor"
"Mknelly, Bailey","FR-1",3377,"Claremont Classic","May 3, 2018","Athena","Hep","2018","Outdoor"
"Egerter, Aubrey","FR-1",3184,"2018 Redlands Last Chance Qualifier","May 16, 2018","Athena","Hep","2018","Outdoor"
