"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:14.54","Cunha, Vignos, Anderson, Macdonald","Oxy Invitational Colleges","May 5, 2012","Stag","4x400","2012","Outdoor"
"3:15.89","Cunha, Vignos, Anderson, Macdonald","NCAA Division III Outdoor Track & Field Championships","May 24, 2012","Stag","4x400","2012","Outdoor"
"3:16.09","Cunha, Vignos, Davis, Macdonald","2012 SCIAC Track & Field Championships","Apr 27, 2012","Stag","4x400","2012","Outdoor"
"3:19.85","Anderson, Vignos, Kunselman, Macdonald","2012 Cal-Nevada Championships","Mar 31, 2012","Stag","4x400","2012","Outdoor"
"3:22.57","Cunha, Vignos, Anderson, Macdonald","SCIAC Quad Meet 3","Apr 7, 2012","Stag","4x400","2012","Outdoor"
"3:22.69","Cunha, Vignos, Macdonald, Espy","Rossi Relays","Feb 25, 2012","Stag","4x400","2012","Outdoor"
"3:24.32","Cunha, Vignos, Kunselman, Macdonald","SCIAC 5 Way Meet Calu","Mar 24, 2012","Stag","4x400","2012","Outdoor"
"3:31.10","Clausen, Jones, Naden, Chasan","2012 Pomona-Pitzer T&F Invite","Apr 14, 2012","Stag","4x400","2012","Outdoor"
"3:32.98","Davis, Taylor, Kunselman, Espy","UCSD - CPP - CMS Triangular","Feb 18, 2012","Stag","4x400","2012","Outdoor"
"3:36.70","Baffi, Jones, Ogilvie, Potterton","SCIAC Quad Meet 3","Apr 7, 2012","Stag","4x400","2012","Outdoor"
"3:36.72","Doran, Chasan, Giardina, Clausen","SCIAC Quad Meet 3","Apr 7, 2012","Stag","4x400","2012","Outdoor"
"3:37.94","Davis, Kunselman, Ogilvie, Tarpley","Rossi Relays","Feb 25, 2012","Stag","4x400","2012","Outdoor"
"3:38.57","Doran, Chasan, Poyhonen, Clausen","SCIAC 5 Way Meet Calu","Mar 24, 2012","Stag","4x400","2012","Outdoor"
"3:38.93","Espy, Giardina, Ogilvie, Jones","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Stag","4x400","2012","Outdoor"
"3:41.33","Jones, Chasan, Poyhonen, Clausen","UCSD - CPP - CMS Triangular","Feb 18, 2012","Stag","4x400","2012","Outdoor"
"3:42.92","Jones, Ogilvie, Potterton, Dannenhauer","SCIAC 5 Way Meet Calu","Mar 24, 2012","Stag","4x400","2012","Outdoor"
