"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"12:13.84","Mejia, Abraham, Mann, McKillop","Rossi Relays","Feb 25, 2017","Athena","DMR","2017","Outdoor"
"13:03.80","Lehr, Scherer, Palenscar, Martin","Rossi Relays","Feb 25, 2017","Athena","DMR","2017","Outdoor"
"13:22.73","Cantu, Fleming, Kimmerly, Mow","Rossi Relays","Feb 25, 2017","Athena","DMR","2017","Outdoor"
"13:31.04","Msall, Serbent, Barcklay, Lambros","Rossi Relays","Feb 25, 2017","Athena","DMR","2017","Outdoor"
