"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
41.72,"Betherum, Van, Guillory, Sekyi-Appiah","SCIAC Track & Field Championships","Apr 29, 2016","Stag","4x100","2016","Outdoor"
41.93,"Betherum, Van, Guillory, Sekyi-Appiah","Redlands Final Qualifying Meet","May 18, 2016","Stag","4x100","2016","Outdoor"
42.14,"Betherum, Van, Guillory, Sekyi-Appiah","SCIAC Multi-Dual #3","Apr 16, 2016","Stag","4x100","2016","Outdoor"
42.58,"Betherum, Van, Guillory, Sekyi-Appiah","2016 Oxy Invitational (College/University)","May 7, 2016","Stag","4x100","2016","Outdoor"
42.73,"Sekyi-Appiah, Van, Guillory, Betherum","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Stag","4x100","2016","Outdoor"
42.75,"Sekyi-Appiah, Van, Guillory, Betherum","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Stag","4x100","2016","Outdoor"
42.77,"Sekyi-Appiah, Van, Guillory, Betherum","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Stag","4x100","2016","Outdoor"
42.8,"Sekyi-Appiah, Van, Guillory, Betherum","Rossi Relays","Feb 27, 2016","Stag","4x100","2016","Outdoor"
43.16,"Sekyi-Appiah, Myers, Guillory, Betherum","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Stag","4x100","2016","Outdoor"
