"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"10:08.48","Ives, Cockburn, Dettman, Christensen","Rossi Relays","Feb 22, 2020","Stag","DMR","2020","Outdoor"
"10:27.38","Steinberg, Denning, Nevens, Pick","Rossi Relays","Feb 22, 2020","Stag","DMR","2020","Outdoor"
"10:39.81","Sealand, Addison, Gill, Hassman","Rossi Relays","Feb 22, 2020","Stag","DMR","2020","Outdoor"
"10:40.26","Wilkinson, Lind, Wallace, van Schendel","Rossi Relays","Feb 22, 2020","Stag","DMR","2020","Outdoor"
