"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:20.44","Dewald, Jones, Sealand, Molineux","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","4x400","2015","Outdoor"
"3:21.24","Jones, Jones, Wong, Dewald","Bryan Clay Invitational","Apr 17, 2015","Stag","4x400","2015","Outdoor"
"3:22.02","Dewald, Jones, Molineux, Hightower","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","4x400","2015","Outdoor"
"3:23.29","Dewald, Jones, Molineux, Sealand","SCIAC Multi Dual","Mar 7, 2015","Stag","4x400","2015","Outdoor"
"3:24.14","Jones, Hightower, Jones, Molineux","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","4x400","2015","Outdoor"
"3:25.32","Dewald, Jones, Molineux, Sealand","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","4x400","2015","Outdoor"
"3:26.75","Hightower, Jones, Mahre, Mathkour","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","4x400","2015","Outdoor"
"3:26.77","Jones, Mathkour, Molineux, Jones","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","4x400","2015","Outdoor"
"3:27.00","Cunha, Jones, Dewald, Sealand","Rossi Relays","Feb 28, 2015","Stag","4x400","2015","Outdoor"
"3:27.04","Hightower, Jones, Cunha, Jauregui","SCIAC Multi Dual","Mar 7, 2015","Stag","4x400","2015","Outdoor"
"3:27.84","Cunha, Jones, Mahre, Clausen","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","4x400","2015","Outdoor"
"3:28.50","Cunha, Hightower, Sealand, Lombardo","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","4x400","2015","Outdoor"
"3:30.95","Jones, Hightower, Mahre, Clausen","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","4x400","2015","Outdoor"
"3:35.28","Espy, Wong, McKinney, Redman","Rossi Relays","Feb 28, 2015","Stag","4x400","2015","Outdoor"
"3:35.59","Dewald, Mahre, Clausen, Jauregui","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Stag","4x400","2015","Outdoor"
