"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:49.51","Tarleton, Mejia, Jablonski, Cameron-Lewis","2015 Triton Invitational","Apr 24, 2015","Athena","4x400","2015","Outdoor"
"3:50.10","Tarleton, Mejia, Jablonski, Cameron-Lewis","Bryan Clay Invitational","Apr 17, 2015","Athena","4x400","2015","Outdoor"
"3:50.43","Tarleton, Mejia, Jablonski, Cameron-Lewis","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Athena","4x400","2015","Outdoor"
"3:51.42","Tarleton, Mejia, Jablonski, Cameron-Lewis","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","4x400","2015","Outdoor"
"3:53.46","Tarleton, Mejia, Miller, Cameron-Lewis","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","4x400","2015","Outdoor"
"3:54.96","Tarleton, Mejia, Jablonski, Cameron-Lewis","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","4x400","2015","Outdoor"
"3:57.14","Tarleton, Mejia, McKillop, Cameron-Lewis","SCIAC Multi Dual","Mar 7, 2015","Athena","4x400","2015","Outdoor"
"3:57.56","Abraham, Miller, Mejia, Tarleton","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","4x400","2015","Outdoor"
"3:57.74","Tarleton, Mejia, Jablonski, Cameron-Lewis","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","4x400","2015","Outdoor"
"3:59.23","Tarleton, Abraham, Jablonski, Cameron-Lewis","Westmont Collegiate Classic","Mar 21, 2015","Athena","4x400","2015","Outdoor"
"3:59.61","Stewart, Jablonski, McKillop, Cameron-Lewis","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","4x400","2015","Outdoor"
"4:07.89","Miller, Mejia, Hollshwandner, Abraham","Rossi Relays","Feb 28, 2015","Athena","4x400","2015","Outdoor"
"4:11.60","Abraham, Hollshwandner, McKillop, Miller","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","4x400","2015","Outdoor"
"4:17.60","Stewart, Arnett, Miller, Monahan","SCIAC Multi Dual","Mar 7, 2015","Athena","4x400","2015","Outdoor"
"4:23.35","Lee, Arnett, Woods, Monahan","Rossi Relays","Feb 28, 2015","Athena","4x400","2015","Outdoor"
"4:26.41","Stewart, Arnett, Shirey, Knott","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","4x400","2015","Outdoor"
