"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:58.83","Lee, Ecola, Mejia, Abraham","2017 SCIAC T&F Championships","Apr 28, 2017","Athena","4x400","2017","Outdoor"
"4:03.55","Lee, Mejia, Ecola, Abraham","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Athena","4x400","2017","Outdoor"
"4:04.70","Lee, Abraham, Mejia, Ecola","SCIAC Multi-Dual No. 2","Apr 1, 2017","Athena","4x400","2017","Outdoor"
"4:05.39","Mejia, Lee, Stewart, Abraham","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Athena","4x400","2017","Outdoor"
"4:13.76","Mejia, Stewart, Burniston, Lee","Rossi Relays","Feb 25, 2017","Athena","4x400","2017","Outdoor"
"4:23.24","Kimmerly, McKillop, Mann, Willian","SCIAC Multi-Dual No. 2","Apr 1, 2017","Athena","4x400","2017","Outdoor"
"4:31.47","Fleming, Snell, Mann, Mow","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Athena","4x400","2017","Outdoor"
"4:33.38","Barcklay, McCarthy, Choe, Kimmerly","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Athena","4x400","2017","Outdoor"
"4:39.02","Fleming, Mann, McKillop, Snell","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Athena","4x400","2017","Outdoor"
"4:39.41","Ecola, McCarthy, Scherer, Serbent","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Athena","4x400","2017","Outdoor"
"4:49.98","Snell, Palenscar, Nix, Zepeda","SCIAC Multi-Dual No. 2","Apr 1, 2017","Athena","4x400","2017","Outdoor"
