"Athlete","Year","Points","Meet","Meet_Date","Team","Event","Season","Location"
"Colton, Reny","SR",4433,"Mt. SAC/CA Invite Combined Events","Apr 14, 2010","Athena","Hep","2010","Outdoor"
"Colton, Reny","SR",4269,"CSUN Multi's","Mar 18, 2010","Athena","Hep","2010","Outdoor"
"Colton, Reny","SR",3700,"Claremont Classic Multi","May 13, 2010","Athena","Hep","2010","Outdoor"
