"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Bloss, Meredith","JR-3","5:05.58","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Bitetti, Natalie","SO-2","5:05.62","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Harmon, Riley","SR-4","5:14.19","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Clarke, Emily","SR-4","5:15.46","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Gushue, Angela","FR-1","5:26.49","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Habib, Jamie","FR-1","5:28.46","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","Mile","2022","Outdoor"
"Johnson, Abby","SR-4","5:31.51","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","Mile","2022","Outdoor"
"Habib, Jamie","FR-1","5:35.89","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Hano, Kaya","SO-2","5:45.55","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","Mile","2022","Outdoor"
"Versen, Theresa","SR-4","5:55.59","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","Mile","2022","Outdoor"
"Versen, Theresa","SR-4","5:59.60","CMS Outdoor Indoor Distances Challenge Meet","Jan 29, 2022","Athena","Mile","2022","Outdoor"
"Wong, Olina","JR-3","5:59.71","2022 Pomona-Pitzer Collegiate All-Comers","Feb 19, 2022","Athena","Mile","2022","Outdoor"
