"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
47.61,"Griffin, Cameron-Lewis, Griffith, Abraham","SCIAC Multi-Dual #2 (UR/WC/CMS/ULV/CHU)","Apr 2, 2016","Athena","4x100","2016","Outdoor"
47.87,"Abraham, Cameron-Lewis, Griffith, Lee","2016 Oxy Invitational (College/University)","May 7, 2016","Athena","4x100","2016","Outdoor"
47.96,"Griffin, Cameron-Lewis, Griffith, Abraham","2016 Pomona-Pitzer T&F Invite","Apr 9, 2016","Athena","4x100","2016","Outdoor"
48.04,"Abraham, Cameron-Lewis, Griffith, Lee *","NCAA Division III Outdoor Track & Field Championships","May 26, 2016","Athena","4x100","2016","Outdoor"
48.23,"Griffin, Cameron-Lewis, Griffith, Abraham","2016 Ross and Sharon Irwin Collegiate Scoring Meet","Mar 19, 2016","Athena","4x100","2016","Outdoor"
48.43,"Griffin, Cameron-Lewis, Griffith, Abraham","SCIAC Track and Field Multi-Dual # 1","Mar 5, 2016","Athena","4x100","2016","Outdoor"
48.43,"Griffin, Cameron-Lewis, Griffith, Abraham","SCIAC Multi-Dual #3","Apr 16, 2016","Athena","4x100","2016","Outdoor"
48.54,"Griffin, Cameron-Lewis, Griffith, Abraham","Rossi Relays","Feb 27, 2016","Athena","4x100","2016","Outdoor"
48.57,"Abraham, Cameron-Lewis, Griffith, Lee","Redlands Final Qualifying Meet","May 18, 2016","Athena","4x100","2016","Outdoor"
48.89,"Griffin, Cameron-Lewis, Griffith, Abraham","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","4x100","2016","Outdoor"
