"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Kirschner, Elizabeth","SO-2","10.05m","32' 11.75""","2023 SCIAC T&F Championships","Apr 29, 2023",1.3,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.70m","31' 10""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",0.5,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.68m","31' 9.25""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",0.2,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.43m","30' 11.25""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",0.6,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.42m","30' 11""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023",0.3,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.40m","30' 10.25""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023",1.7,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.26m","30' 4.75""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023",-1.7,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.25m","30' 4.25""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",1.6,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.19m","30' 2""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",0.7,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.16m","30' 0.75""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023",0,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","9.14m","30' 0""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023",0.7,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","8.93m","29' 3.75""","Redlands Invitational (Collegiate)","Mar 17, 2023",0.3,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","8.92m","29' 3.25""","Redlands Invitational (Collegiate)","Mar 17, 2023",0.9,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","8.82m","28' 11.25""","Redlands Invitational (Collegiate)","Mar 17, 2023",1.3,"Athena","TJ","2023","Outdoor"
"Okamura, Cameryn","FR-1","8.38m","27' 6""","Redlands Invitational (Collegiate)","Mar 17, 2023",0,"Athena","TJ","2023","Outdoor"
