"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Sealand, Joshua","SR-4","1:49.90","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:51.38","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:51.63","NCAA Division III Outdoor Track & Field Championships","May 25, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:52.40","NCAA Division III Outdoor Track & Field Championships","May 25, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:53.87","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:54.83","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:54.96","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:55.22","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Sealand, Joshua","SR-4","1:55.22","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:56.34","2017 Occidental Distance Carnival Spring Break Classic","Mar 10, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:56.38","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:56.73","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","1:56.82","SCIAC Track and Field Multi-Dual # 1","Mar 4, 2017","Stag","800","2017","Outdoor"
"Ives, Wilson","FR-1","1:57.21","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","800","2017","Outdoor"
"Ives, Wilson","FR-1","1:57.29","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","800","2017","Outdoor"
"Ives, Wilson","FR-1","1:57.74","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","800","2017","Outdoor"
"Ives, Wilson","FR-1","1:58.00","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Robison, Arch","JR-3","2:00.77","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","800","2017","Outdoor"
"Denning, Max","FR-1","2:00.84","2017 Pomona-Pitzer T&F Invite","Apr 8, 2017","Stag","800","2017","Outdoor"
"Finley, Cameron","FR-1","2:03.89","2017 Occidental Distance Carnival Spring Break Classic","Mar 10, 2017","Stag","800","2017","Outdoor"
"Robison, Arch","JR-3","2:06.44","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","800","2017","Outdoor"
"Klain, Daniel","FR-1","2:07.04","2017 Occidental Distance Carnival Spring Break Classic","Mar 10, 2017","Stag","800","2017","Outdoor"
"Klain, Daniel","FR-1","2:07.20","SCIAC Multi-Dual No. 2","Apr 1, 2017","Stag","800","2017","Outdoor"
"Newton, Brad","FR-1","2:09.07","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
"Newton, Brad","FR-1","2:11.81","SCIAC Multi Dual 3 (Oxy/CLU/UR/CMS)","Apr 15, 2017","Stag","800","2017","Outdoor"
"Robison, Arch","JR-3","2:13.40","2017 SCIAC T&F Championships","Apr 28, 2017","Stag","800","2017","Outdoor"
