"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"3:19.63","Hightower, Mathkour, Jones, Molineux","2014 SCIAC T&F Championships","May 3, 2014","Stag","4x400","2014","Outdoor"
"3:21.10","Hightower, Mathkour, Jones, Jackson","SCIAC Multi Duals Meet #3","Apr 19, 2014","Stag","4x400","2014","Outdoor"
"3:22.93","Hightower, Jones, Jones, Jackson","Cal Lutheran/CMS/La Verne/Occidental","Mar 8, 2014","Stag","4x400","2014","Outdoor"
"3:23.01","Jackson, Hightower, Joseph, Jones","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","4x400","2014","Outdoor"
"3:24.06","Cunha, Jackson, Boggess, Jones","2014 Pomona-Pitzer T&F Invite (College/Univ)","Apr 12, 2014","Stag","4x400","2014","Outdoor"
"3:25.07","Cunha, Jones, Jackson, Joseph","Rossi Relays","Feb 22, 2014","Stag","4x400","2014","Outdoor"
"3:25.84","Boggess, Jones, Kunst, Cunha","2014 SCIAC Quad Meet","Mar 29, 2014","Stag","4x400","2014","Outdoor"
"3:28.12","Hightower, Jones, Mathkour, Kunst","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","4x400","2014","Outdoor"
"3:28.79","Hightower, Jones, Molineux, Joseph","2014 Cal-Nevada Track & Field Championships","Apr 4, 2014","Stag","4x400","2014","Outdoor"
"3:29.13","","Ross and Sharon Irwin Meet","Mar 22, 2014","Stag","4x400","2014","Outdoor"
"3:29.16","Stashko, Molineux, Jones, Boggess","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","4x400","2014","Outdoor"
"3:30.13","Cunha, Jackson, Espy, Joseph","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","4x400","2014","Outdoor"
"3:31.31","Espy, Mathkour, Kunst, Jones","Rossi Relays","Feb 22, 2014","Stag","4x400","2014","Outdoor"
