"Time","Athletes","Meet","Meet_Date","Team","Event","Season","Location"
"1:33.51","Williams, Martinez, Teresi, Campbell","25th Rossi Relays","Feb 26, 2022","Stag","SMR(800)","2022","Outdoor"
"1:34.83","","25th Rossi Relays","Feb 26, 2022","Stag","SMR(800)","2022","Outdoor"
